user_id,age,gender,activity_level,goal,bmi,fitness_experience,has_gym_membership
1,39,male,medium,stay_fit,20.0,beginner,True
2,54,female,medium,stay_fit,22.2,beginner,True
3,45,female,high,gain_muscle,24.6,intermediate,False
4,53,male,low,lose_weight,23.5,beginner,True
5,47,male,medium,lose_weight,24.5,beginner,False
6,36,male,medium,gain_muscle,19.3,beginner,False
7,30,male,high,gain_muscle,24.0,advanced,False
8,25,female,medium,gain_muscle,17.7,intermediate,False
9,26,male,medium,lose_weight,20.1,intermediate,True
10,50,female,medium,stay_fit,21.1,beginner,True
11,43,male,medium,stay_fit,18.5,beginner,True
12,38,female,high,lose_weight,21.6,intermediate,False
13,21,female,high,lose_weight,24.8,beginner,False
14,35,male,medium,gain_muscle,27.5,advanced,False
15,23,male,medium,gain_muscle,22.4,intermediate,False
16,41,male,high,lose_weight,22.0,intermediate,True
17,35,male,low,stay_fit,23.6,beginner,False
18,19,male,low,lose_weight,23.2,intermediate,False
19,28,male,medium,gain_muscle,21.0,intermediate,False
20,30,male,low,lose_weight,25.6,beginner,True
21,29,male,high,lose_weight,23.1,intermediate,False
22,25,male,medium,gain_muscle,22.0,beginner,False
23,35,male,medium,lose_weight,22.3,beginner,True
24,33,male,medium,lose_weight,31.1,beginner,False
25,17,male,medium,gain_muscle,26.3,beginner,False
26,24,female,medium,stay_fit,23.0,beginner,True
27,40,male,low,gain_muscle,16.7,beginner,True
28,20,male,medium,lose_weight,18.9,intermediate,True
29,27,male,medium,lose_weight,24.3,advanced,False
30,38,male,low,gain_muscle,23.1,beginner,True
31,41,male,medium,lose_weight,20.5,beginner,False
32,29,male,low,lose_weight,23.6,beginner,True
33,20,male,high,lose_weight,21.8,beginner,True
34,45,female,medium,gain_muscle,22.1,intermediate,False
35,25,female,high,gain_muscle,23.5,intermediate,True
36,25,female,medium,gain_muscle,21.0,beginner,False
37,21,male,high,stay_fit,19.8,beginner,False
38,25,male,low,lose_weight,19.9,beginner,False
39,26,female,low,stay_fit,22.8,intermediate,False
40,18,male,low,gain_muscle,19.3,beginner,False
41,21,male,medium,lose_weight,30.6,beginner,False
42,21,male,low,stay_fit,26.8,beginner,True
43,54,male,medium,gain_muscle,26.2,intermediate,True
44,16,female,medium,lose_weight,21.3,intermediate,False
45,28,male,medium,lose_weight,21.5,beginner,True
46,39,female,medium,lose_weight,19.8,beginner,True
47,28,male,low,stay_fit,29.5,beginner,True
48,23,male,medium,lose_weight,28.0,intermediate,False
49,44,male,medium,stay_fit,26.0,beginner,True
50,26,male,high,lose_weight,23.6,intermediate,True
51,27,female,medium,lose_weight,22.8,advanced,False
52,19,female,high,lose_weight,25.5,intermediate,True
53,49,female,medium,gain_muscle,28.8,advanced,False
54,24,female,high,lose_weight,25.9,beginner,False
55,19,male,low,gain_muscle,20.7,intermediate,False
56,25,female,medium,lose_weight,21.7,beginner,False
57,36,male,high,stay_fit,25.4,beginner,True
58,18,male,low,stay_fit,21.4,beginner,False
59,24,male,medium,lose_weight,22.6,intermediate,True
60,24,male,high,stay_fit,28.5,intermediate,False
61,39,male,medium,stay_fit,23.1,intermediate,True
62,18,male,low,gain_muscle,19.3,beginner,False
63,42,female,medium,lose_weight,32.7,beginner,False
64,22,male,low,gain_muscle,27.3,beginner,False
65,22,male,high,stay_fit,23.8,beginner,True
66,25,male,low,lose_weight,24.0,advanced,True
67,19,male,low,lose_weight,17.6,intermediate,True
68,49,female,low,lose_weight,22.8,beginner,True
69,21,male,medium,lose_weight,21.8,advanced,False
70,17,female,high,lose_weight,24.3,beginner,False
71,23,female,low,lose_weight,28.9,intermediate,True
72,17,male,low,lose_weight,25.3,beginner,True
73,18,male,medium,lose_weight,30.1,intermediate,True
