user_id,subscription_date,plan_type,price
5,2025-02-27,annual,99.99
6,2025-03-15,monthly,9.99
14,2025-03-17,monthly,9.99
22,2025-02-07,monthly,9.99
28,2025-03-24,monthly,9.99
41,2025-02-09,monthly,9.99
53,2025-02-04,monthly,9.99
54,2025-03-13,monthly,9.99
83,2025-01-25,annual,99.99
95,2025-03-13,monthly,9.99
97,2025-01-29,monthly,9.99
101,2025-01-13,monthly,9.99
104,2025-03-18,monthly,9.99
116,2025-03-19,monthly,9.99
119,2025-01-19,monthly,9.99
123,2025-01-24,monthly,9.99
124,2025-03-14,monthly,9.99
127,2025-03-24,monthly,9.99
128,2025-03-01,monthly,9.99
132,2025-03-11,monthly,9.99
142,2025-03-25,monthly,9.99
148,2025-03-13,monthly,9.99
149,2025-03-12,monthly,9.99
165,2025-03-23,monthly,9.99
170,2025-02-26,monthly,9.99
188,2025-03-26,monthly,9.99
196,2025-03-30,annual,99.99
217,2025-01-04,monthly,9.99
221,2025-03-14,monthly,9.99
223,2025-03-29,annual,99.99
226,2025-03-21,monthly,9.99
235,2025-02-24,annual,99.99
239,2025-03-26,monthly,9.99
260,2025-02-09,monthly,9.99
261,2025-03-05,monthly,9.99
272,2025-02-23,monthly,9.99
278,2025-02-22,annual,99.99
294,2025-01-31,monthly,9.99
306,2025-03-16,monthly,9.99
312,2025-03-17,annual,99.99
316,2025-02-17,monthly,9.99
320,2025-03-28,monthly,9.99
333,2025-02-15,monthly,9.99
336,2025-02-09,monthly,9.99
345,2025-03-24,monthly,9.99
353,2025-03-11,monthly,9.99
355,2025-02-16,monthly,9.99
358,2025-02-02,monthly,9.99
360,2025-02-22,monthly,9.99
382,2025-03-19,monthly,9.99
388,2025-03-31,monthly,9.99
389,2025-02-12,monthly,9.99
399,2025-02-15,monthly,9.99
405,2025-01-28,monthly,9.99
406,2025-02-22,monthly,9.99
412,2025-03-06,monthly,9.99
416,2025-02-20,monthly,9.99
425,2025-03-02,monthly,9.99
427,2025-03-06,monthly,9.99
429,2025-03-31,annual,99.99
435,2025-02-14,monthly,9.99
440,2025-03-25,monthly,9.99
441,2025-02-22,monthly,9.99
445,2025-01-18,monthly,9.99
448,2025-03-10,monthly,9.99
449,2025-01-06,annual,99.99
451,2025-03-04,monthly,9.99
452,2025-03-26,monthly,9.99
453,2025-03-29,monthly,9.99
474,2025-02-23,monthly,9.99
496,2025-02-12,monthly,9.99
507,2025-02-14,monthly,9.99
510,2025-03-15,monthly,9.99
516,2025-02-07,annual,99.99
538,2025-03-07,monthly,9.99
540,2025-03-25,monthly,9.99
541,2025-03-27,monthly,9.99
547,2025-01-23,monthly,9.99
554,2025-03-28,monthly,9.99
559,2025-01-02,monthly,9.99
563,2025-01-21,monthly,9.99
565,2025-02-15,monthly,9.99
565,2025-03-23,annual,99.99
574,2025-03-01,annual,99.99
576,2025-02-26,monthly,9.99
583,2025-02-19,monthly,9.99
590,2025-03-27,annual,99.99
594,2025-03-08,monthly,9.99
602,2025-03-09,annual,99.99
603,2025-02-13,monthly,9.99
617,2025-03-24,monthly,9.99
622,2025-03-21,annual,99.99
626,2025-03-29,monthly,9.99
627,2025-03-08,monthly,9.99
628,2025-03-12,monthly,9.99
631,2025-03-24,annual,99.99
638,2025-03-26,monthly,9.99
648,2025-03-08,annual,99.99
650,2025-02-12,annual,99.99
656,2025-01-31,annual,99.99
663,2025-01-30,monthly,9.99
673,2025-03-01,monthly,9.99
693,2025-03-28,annual,99.99
694,2025-01-22,monthly,9.99
695,2025-03-19,monthly,9.99
696,2025-02-21,monthly,9.99
707,2025-03-01,monthly,9.99
711,2025-03-15,monthly,9.99
713,2025-03-25,monthly,9.99
724,2025-01-24,annual,99.99
748,2025-03-11,monthly,9.99
762,2025-02-01,monthly,9.99
763,2025-03-31,monthly,9.99
786,2025-03-20,annual,99.99
802,2025-02-01,monthly,9.99
803,2025-01-19,monthly,9.99
804,2025-03-06,annual,99.99
808,2025-02-26,monthly,9.99
822,2025-03-21,monthly,9.99
833,2025-02-27,monthly,9.99
837,2025-03-26,monthly,9.99
839,2025-03-23,monthly,9.99
859,2025-03-25,monthly,9.99
870,2025-03-04,monthly,9.99
880,2025-02-18,monthly,9.99
884,2025-02-28,monthly,9.99
887,2025-02-07,annual,99.99
890,2025-01-16,monthly,9.99
901,2025-03-25,monthly,9.99
911,2025-03-07,monthly,9.99
918,2025-01-10,monthly,9.99
928,2025-01-24,monthly,9.99
933,2025-02-08,monthly,9.99
950,2025-02-25,monthly,9.99
953,2025-02-04,monthly,9.99
955,2025-03-18,annual,99.99
967,2025-01-15,monthly,9.99
975,2025-02-27,annual,99.99
984,2025-01-24,monthly,9.99
1001,2025-03-25,monthly,9.99
1012,2025-03-04,annual,99.99
1013,2025-02-23,monthly,9.99
1015,2025-03-17,monthly,9.99
1018,2025-02-23,monthly,9.99
1022,2025-02-06,monthly,9.99
1025,2025-03-12,annual,99.99
1032,2025-01-10,monthly,9.99
1037,2025-02-27,annual,99.99
1041,2025-01-07,monthly,9.99
1053,2025-02-21,monthly,9.99
1056,2025-01-26,monthly,9.99
1057,2025-03-29,monthly,9.99
1066,2025-03-07,monthly,9.99
1075,2025-02-14,monthly,9.99
