user_id,created_at,platform,country
1,2025-02-25,Android,France
2,2025-03-28,Android,Ukraine
3,2025-03-06,Android,Germany
4,2025-01-22,iOS,Ukraine
5,2025-01-19,iOS,UK
6,2025-02-01,Android,Ukraine
7,2025-03-27,iOS,UK
8,2025-01-28,iOS,Poland
9,2025-02-13,iOS,Poland
10,2025-03-04,Android,UK
11,2025-03-22,Android,Germany
12,2025-02-26,Android,UK
13,2025-03-07,iOS,Germany
14,2025-01-22,Android,France
15,2025-01-11,iOS,Germany
16,2025-03-09,iOS,Germany
17,2025-01-26,Android,France
18,2025-02-02,iOS,France
19,2025-01-21,Android,France
20,2025-03-31,Android,Germany
21,2025-03-17,iOS,Poland
22,2025-01-31,Android,Germany
23,2025-03-15,Android,France
24,2025-03-13,Android,Poland
25,2025-01-14,Android,Germany
26,2025-03-10,iOS,France
27,2025-02-08,iOS,Germany
28,2025-02-03,Android,Germany
29,2025-02-01,iOS,Germany
30,2025-01-24,iOS,UK
31,2025-01-20,iOS,France
32,2025-02-21,iOS,Germany
33,2025-03-09,iOS,Germany
35,2025-01-06,iOS,Germany
36,2025-02-25,Android,Poland
37,2025-02-26,Android,Poland
38,2025-03-25,Android,UK
39,2025-03-28,iOS,France
40,2025-02-03,iOS,Poland
41,2025-01-22,iOS,France
42,2025-02-04,iOS,France
43,2025-01-13,Android,Ukraine
44,2025-01-14,iOS,Germany
45,2025-02-26,Android,France
46,2025-03-13,iOS,France
47,2025-03-22,Android,Germany
48,2025-01-20,Android,Poland
49,2025-01-27,iOS,Germany
50,2025-02-09,Android,Germany
51,2025-01-11,iOS,France
52,2025-03-17,iOS,Poland
53,2025-01-30,Android,UK
54,2025-02-14,Android,UK
55,2025-02-11,iOS,France
56,2025-03-31,iOS,France
57,2025-03-25,iOS,France
58,2025-01-25,iOS,France
59,2025-03-04,Android,UK
60,2025-01-09,iOS,Germany
61,2025-03-06,Android,Ukraine
62,2025-03-30,Android,Poland
63,2025-02-27,Android,France
64,2025-02-08,iOS,Germany
65,2025-02-28,Android,France
66,2025-02-19,Android,Germany
67,2025-02-27,iOS,France
68,2025-03-02,iOS,France
69,2025-02-26,Android,France
70,2025-03-25,iOS,Ukraine
71,2025-02-02,iOS,France
72,2025-03-23,iOS,France
73,2025-03-04,Android,France
74,2025-01-23,iOS,Poland
75,2025-03-04,iOS,France
76,2025-03-15,iOS,France
77,2025-02-23,iOS,Poland
78,2025-03-07,Android,Germany
79,2025-02-27,iOS,France
80,2025-01-24,iOS,Germany
81,2025-01-25,Android,Germany
82,2025-03-11,Android,Germany
83,2025-01-22,iOS,France
84,2025-02-26,Android,Germany
85,2025-03-31,Android,France
86,2025-03-24,iOS,Germany
87,2025-02-02,iOS,Germany
88,2025-02-26,iOS,Germany
89,2025-03-22,Android,France
90,2025-03-31,Android,Poland
91,2025-01-13,iOS,Ukraine
92,2025-03-08,Android,France
93,2025-03-14,iOS,Poland
94,2025-03-04,Android,Poland
95,2025-01-12,iOS,Ukraine
96,2025-01-16,Android,Ukraine
97,2025-01-16,Android,France
98,2025-03-27,Android,Poland
